FIP,9/8/1918,9/15/1918,9/22/1918,9/29/1918,10/6/1918,10/13/1918,10/20/1918,10/27/1918,11/3/1918,11/10/1918,11/17/1918,11/24/1918,12/1/1918,12/8/1918,12/15/1918,12/22/1918,12/29/1918,1/5/1919,1/12/1919,1/19/1919,1/26/1919,2/2/1919,2/9/1919,2/16/1919,2/23/1919,3/2/1919,3/9/1919,3/16/1919,3/23/1919,3/30/1919,4/6/1919,4/13/1919,4/20/1919,4/27/1919,5/4/1919,5/11/1919,5/18/1919,5/25/1919,6/1/1919,6/8/1919,6/15/1919,6/22/1919,6/29/1919,7/6/1919,7/13/1919,7/20/1919,7/27/1919,8/3/1919,8/10/1919,8/17/1919,8/24/1919,8/31/1919,9/7/1919,9/14/1919,9/21/1919,9/28/1919,10/5/1919,10/12/1919,10/19/1919,10/26/1919,11/2/1919,11/9/1919,11/16/1919,11/23/1919,11/30/1919,12/7/1919,12/14/1919,12/21/1919,12/28/1919,1/4/1920,1/11/1920,1/18/1920,1/25/1920,2/1/1920,2/8/1920,2/15/1920,2/22/1920,2/29/1920,3/7/1920,3/14/1920,3/21/1920,3/28/1920,4/4/1920,4/11/1920,4/18/1920,4/25/1920,5/2/1920,5/9/1920,5/16/1920,5/23/1920,5/30/1920,6/6/1920,6/13/1920,6/20/1920,6/27/1920,7/4/1920,7/11/1920,7/18/1920,7/25/1920,8/1/1920,8/8/1920,8/15/1920,8/22/1920,8/29/1920
1,0,0,1,1,1,3,3,8,4,21,9,7,5,6,4,6,6,2,1,3,5,1,2,3,2,1,3,2,0,5,1,7,2,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,1,0,2,0,5,14,13,7,3,2,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3,0,0,0,1,5,8,5,8,2,4,0,0,3,7,3,3,1,1,2,1,0,2,0,0,1,0,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,2,5,2,1,3,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,1,1,1,0,1,1,3,5,4,4,2,3,0,0,1,0,1,3,2,1,1,1,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,1,0,0,0,1,0,0,3,4,2,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,0,1,1,1,1,0,6,0,2,1,4,4,11,13,6,8,5,4,1,2,1,3,0,2,1,2,1,4,2,1,1,0,0,1,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,0,3,10,18,9,3,2,1,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9,0,0,0,0,3,2,10,7,8,3,3,2,6,8,10,5,7,5,4,3,4,1,4,0,1,2,1,1,1,0,2,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,2,2,0,3,1,1,0,6,6,4,2,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,2,1,5,2,3,5,3,1,8,14,12,5,5,2,0,4,0,4,0,0,1,2,2,2,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,1,0,1,1,1,3,6,12,5,1,2,1,1,0,1,0,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
13,0,0,0,0,2,2,8,7,8,10,9,9,5,9,11,2,1,6,3,3,4,3,4,3,1,1,1,0,1,3,1,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,2,2,3,6,15,11,7,1,4,4,2,2,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15,0,1,0,0,2,0,2,2,2,0,0,1,8,15,10,3,3,1,2,0,1,2,0,2,0,0,0,1,3,0,6,3,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,3,4,3,5,1,1,0,2,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,1,0,1,0,3,4,2,1,1,5,5,2,0,1,3,1,4,2,2,1,1,2,2,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,4,6,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,1,2,1,11,20,10,11,6,8,10,13,9,11,7,5,6,4,3,2,4,0,1,1,1,5,2,4,0,1,1,2,1,0,0,2,1,1,2,0,1,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,0,2,3,0,3,25,20,4,6,2,2,1,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0
21,1,0,1,5,28,79,77,41,25,19,12,15,30,43,36,26,13,11,12,17,6,6,15,10,8,8,6,4,11,4,13,9,4,5,0,1,3,2,0,2,1,2,1,2,0,2,0,0,3,0,0,0,3,1,2,0,0,2,4,2,1,1,6,3,2,4,4,4,5,1,2,3,6,27,34,36,20,9,4,10,6,5,3,4,3,3,11,4,2,4,5,3,3,0,2,2,0,1,0,2,1,3,3,1
23,0,1,0,0,5,17,19,26,18,17,11,11,10,11,5,7,6,7,11,5,4,2,7,4,2,6,5,3,4,2,1,4,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,1,1,3,3,3,1,1,2,1,2,0,3,2,2,3,4,10,18,13,13,6,2,2,3,3,1,0,2,1,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0
25,0,1,0,2,0,3,3,4,5,2,0,2,6,6,5,4,2,2,2,2,2,0,3,3,0,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,2,2,4,1,7,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,0,0,2,8,12,10,8,7,2,6,6,8,6,4,3,3,6,5,5,3,1,4,1,2,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,1,2,0,2,3,12,14,8,4,1,1,2,2,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
29,0,0,0,0,0,1,3,0,2,1,2,1,4,2,2,2,1,4,2,2,3,0,3,3,0,0,0,2,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
31,0,3,0,0,2,2,3,10,9,11,6,5,6,13,11,18,5,12,17,6,8,2,2,1,6,1,2,3,0,1,3,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,1,0,0,5,3,1,1,2,0,3,6,7,2,2,5,4,0,3,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
33,0,0,1,0,1,4,15,13,17,8,6,7,15,14,10,3,1,1,3,5,5,0,6,2,4,1,3,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,9,6,5,3,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,7,11,12,8,4,2,0,1,1,0,2,1,2,3,1,0,1,0,0,3,0,1,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
37,0,0,0,1,3,3,3,1,6,6,6,6,6,7,4,2,1,11,9,3,2,0,1,5,7,4,7,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,1,1,1,2,9,5,7,4,3,0,0,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,0,0,0,1,0,3,2,5,0,1,0,0,4,3,7,4,0,4,0,4,0,0,1,0,0,0,1,1,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,3,7,11,3,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,0,0,0,1,3,3,3,6,3,7,11,6,13,11,10,4,4,4,1,0,1,2,0,0,1,0,3,3,0,1,1,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,3,10,6,9,5,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
43,0,0,0,1,1,4,0,1,0,1,0,1,0,2,3,4,2,3,5,2,0,0,2,1,1,2,3,1,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,3,2,5,8,11,6,3,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,1,4,1,0,3,3,1,1,4,6,5,2,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,3,3,3,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,0,0,1,0,0,7,5,3,5,6,4,8,9,6,5,3,5,10,5,6,5,2,3,0,1,0,0,2,1,0,3,1,1,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,0,0,3,1,6,11,4,9,1,2,1,2,2,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
49,0,0,0,0,2,8,4,0,4,0,3,7,14,8,3,0,1,1,3,0,0,0,0,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,1,0,1,1,4,8,5,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
51,0,0,0,1,1,4,3,5,2,2,7,11,6,15,20,7,3,3,0,4,1,7,1,0,0,4,2,2,2,2,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,1,1,0,1,6,7,9,7,4,4,0,1,0,1,1,3,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,2,0,1,5,9,7,6,5,10,7,5,1,3,4,7,0,2,1,2,0,1,1,3,5,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,5,5,10,4,3,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0
55,0,0,0,0,2,4,3,2,1,3,5,4,2,1,0,0,2,2,1,0,3,3,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,2,4,2,1,0,1,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,1,0,0,3,7,6,3,2,0,2,2,5,7,6,0,1,0,0,0,3,2,1,6,3,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,4,8,2,3,2,2,3,0,2,2,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
59,0,0,0,0,1,1,0,1,2,1,0,2,1,1,1,3,2,2,0,0,1,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,1,1,0,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,0,0,0,1,1,6,2,3,4,4,3,6,3,7,5,1,0,0,0,0,1,0,0,2,1,0,4,5,3,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,3,12,6,2,3,1,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,0,0,0,0,0,1,0,1,1,2,4,5,8,1,3,1,1,2,0,0,1,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1,0,0,1,1,0,0,2,0,2,1,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,4,5,4,5,3,1,1,3,1,5,2,6,1,2,2,2,1,0,0,0,0,0,2,0,0,0,0,3,3,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,5,4,5,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,3,4,3,3,2,5,0,1,1,3,1,1,2,3,2,0,3,0,0,2,2,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,3,0,2,5,57,102,96,35,27,19,12,12,6,4,6,7,7,9,3,9,9,7,9,7,11,7,11,8,4,6,2,2,3,0,1,2,1,2,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,2,1,4,3,3,5,2,0,3,2,1,5,0,1,1,12,15,10,7,7,7,5,1,2,1,5,2,4,1,0,1,0,0,0,0,0,0,2,0,1,0,0,2,1,1
71,0,0,1,2,4,4,3,1,4,4,10,13,8,2,1,4,7,4,1,4,2,2,0,4,3,4,1,6,3,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,2,6,2,7,2,2,1,2,2,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
73,0,0,0,0,0,2,2,4,5,5,4,1,5,1,2,0,2,1,1,1,0,0,0,0,2,1,0,1,2,1,1,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,0,1,0,1,3,4,9,1,1,2,2,0,2,2,3,4,0,2,1,0,0,2,1,0,2,0,3,2,4,2,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,5,5,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
77,0,0,0,17,88,65,33,24,7,15,12,14,24,15,20,13,9,7,13,14,11,2,3,4,6,5,4,5,6,4,4,2,3,1,5,1,0,3,0,0,0,0,0,3,1,0,2,0,1,2,1,1,2,0,2,1,1,0,0,3,1,2,3,2,2,1,2,1,2,5,7,1,9,21,30,33,13,18,15,7,5,1,3,2,2,2,3,1,1,0,0,1,0,0,0,0,1,1,1,2,2,0,1,0
79,0,1,0,1,2,2,1,3,1,5,3,4,3,5,4,3,2,1,0,3,4,1,3,3,0,2,2,1,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,4,3,8,3,1,4,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,2,0,8,6,3,3,3,2,0,10,9,8,2,3,1,12,3,2,4,7,4,7,2,2,5,1,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,3,0,0,1,1,6,10,4,6,5,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,0,1,0,2,14,12,9,11,8,7,4,2,0,7,3,5,7,4,4,4,2,3,2,0,2,4,11,3,3,1,4,1,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3,0,1,3,0,2,3,4,9,8,9,4,2,1,3,2,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
85,0,0,0,0,3,3,1,3,0,0,1,1,1,5,3,1,2,3,1,0,1,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,1,0,3,2,1,4,4,1,0,3,1,6,1,1,1,1,3,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,8,5,4,1,2,3,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,3,7,5,0,3,2,4,3,7,5,1,3,1,2,2,1,1,1,1,1,0,1,1,0,1,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,2,0,3,1,5,2,3,2,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,0,0,0,0,0,3,7,3,4,2,3,3,8,8,3,2,2,5,2,1,3,2,2,0,2,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,3,4,0,6,11,5,2,2,3,2,0,1,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,2,0,2,5,4,0,1,1,3,0,3,1,0,1,0,0,0,1,1,2,2,1,3,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,4,3,5,1,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,6,9,12,68,118,187,199,170,131,91,70,111,212,253,161,73,56,57,60,47,68,45,51,47,56,44,46,57,51,47,39,27,22,16,7,13,9,8,7,4,3,4,6,8,7,5,3,5,5,1,3,3,4,4,4,3,1,0,1,0,9,8,9,5,8,3,10,7,5,7,30,94,117,236,151,62,32,28,30,22,18,22,12,5,11,15,11,15,13,10,4,6,8,6,7,3,4,3,4,8,6,8,11,5
97,1,3,2,5,13,19,42,41,42,35,32,29,43,41,39,21,18,10,13,15,11,14,13,9,18,9,8,15,12,8,6,4,1,0,4,2,2,0,0,2,0,0,0,3,1,2,0,3,3,0,1,3,2,1,0,2,1,1,1,1,1,2,3,4,2,2,5,1,8,4,7,5,6,16,25,28,15,10,4,6,2,4,3,1,4,3,2,1,3,0,0,0,1,1,0,0,1,0,2,0,0,1,0,0
99,0,0,0,1,4,17,31,11,8,4,10,9,11,11,9,4,7,9,11,1,6,2,3,1,5,2,3,5,2,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,2,1,0,2,2,7,4,6,12,14,5,2,1,4,0,2,2,0,2,0,0,1,1,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0
101,0,1,0,0,1,1,4,5,3,3,3,5,8,7,5,1,4,3,1,2,1,1,1,2,1,0,4,2,3,1,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,1,1,0,2,2,2,7,12,7,16,0,2,5,2,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,0,0,0,0,3,3,2,0,1,0,0,2,1,5,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,6,3,1,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,2,4,3,4,1,1,0,0,4,0,3,0,4,3,3,2,1,3,2,1,1,0,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,4,1,3,5,2,2,0,6,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
107,0,0,0,1,6,15,6,6,7,4,11,9,14,17,8,1,3,3,4,4,2,0,6,7,4,2,2,1,6,2,2,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,4,5,4,18,26,17,8,2,4,2,1,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0
109,0,0,0,1,5,11,6,4,5,8,5,0,2,9,7,5,7,7,4,6,10,3,6,1,0,0,1,2,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,1,0,2,2,4,3,7,5,7,6,3,2,3,1,1,2,0,0,1,0,1,0,1,0,2,1,1,0,0,0,0,1,0,0,0,0
